review_text,rating,product_name,raw_category,source,sentiment
Thought this would be a great gift for the kids and the price was right,4.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Magenta",Electronics,primary,positive
"Great item, I can say it feel just like working with an iPad. Picture, sound, size and touch are very sweet.",5.0,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",Fire Tablets,primary,positive
Great price. Works like a charm!,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
Convenient and easy for my 10 year old to use to do homework on.,4.0,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",Fire Tablets,primary,positive
This product is easy to use. Screen size is great. Would recommend to anyone.,5.0,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",Fire Tablets,primary,positive
I had got this tablet for my niece for her bday and it s the best.,5.0,Brand New Amazon Kindle Fire 16gb 7 Ips Display Tablet Wifi 16 Gb Blue,Fire Tablets,primary,positive
This is a great tablet for small children and for anyone who is looking to use it for a reading tablet or the internet. It is a bit slow but not to the point where it is frustrating.,4.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
Got it on a Black Friday deal.... couldn t be happier,5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
They really enjoy it and I will buy it again for another gift,5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
"Good price, decent battery life",4.0,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,AA,primary,positive
Very pleased with the Kindle Fire. Great price too!,5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
Purchased the echo after hearing it at a neighbors. Good quality speaker for the small size.,5.0,Amazon - Echo Plus w/ Built - In Hub - Silver,Amazon Echo,primary,positive
"I love my Kindle!! I have gotten so spoiled that if I can t get a book on my Kindle, I don t read it.",5.0,Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi - Fi - black,Walmart for Business,primary,positive
"This is my second Echo purchase. My first was the original Echo for my home and the automation feature aside. The sound is excellent, Alexa s response is better than any digital assistant to date, and the ready access to Prime is convenient. This is all of that and portable and rechargeable as well. Additionally the inclusion of Bluetooth and a headphone jack is amazing.",5.0,Amazon Tap - Alexa - Enabled Portable Bluetooth Speaker,Amazon Echo,primary,positive
"I bought the first edition kindle fire years ago. My kids loved it so much that I bought this product to replace the old one. They love this one even more. Larger screen and more memory, you can t go wrong!",5.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Magenta",Electronics,primary,positive
"easy to use , sound is great, i use it any where in the house",5.0,Unknown Product,Featured Brands,primary,positive
I usually only buy Duracell batteries that I purchase on sale through Groupon. I received a bad batch and it always takes so long to get them that I decided to give the Amazon batteries a try. I ll never buy another battery anywhere else. Thank you Amazon for providing another quality product that worked as well as the most expensive brands out there at a reduced price. Shipping was prompt and on time.,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
"I really like the sound of the tab. The only complaint is that you have to push the button every time you have to speak or listen to tab. Unlike the echo, where you just speak and it answers without pushing any buttons. The echo has a cheaper sounding speaker. I d wait till there is a sale in it before paying full price. Otherwise, it is just like a Bluetooth speaker.",4.0,Amazon Tap Smart Assistant Alexaenabled (black) Brand New,Amazon Echo,primary,positive
"While generally a minor upgrade from the paperwhite, it s just the best e-reader on the market. X-ray seemed unnecessary until I was reading game of thrones and forgot who certain people were. The choice to swipe or pinch to change pages is nice too. It s a great device though if you re on a budget you would do fine with the last version.",5.0,"Kindle Voyage E - reader, 6 High - Resolution Display (300 ppi) with Adaptive Built - in Light, PagePress Sensors, Wi - Fi - Includes Special Offers",eBook Readers,primary,positive
"I dropped cable tv entirely, and I purchased this device to use with my sling box. It works wonderfully and is very easy to set up. It also integrated well with my harmony remote.",5.0,Unknown Product,Back To College,primary,positive
They re batteries. I m not really sure what to write here. They were packaged safely. They arrived. They power the little LED lights I bought on amazon. Yay batteries! I can t speak to how long they last because who actually pays attention to that I m using them to power little tap lights.,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
"Purchased Amazon Fire TV due to previous reviews stating that it performs fast with PlayStation Vue. Tried it out for a month and all it did was constantly buffer. Checked my internet speed and router/modem and I have the fastest 1GB speed available. Reviews on PlayStation Vue state that Roku interface is not as good, so I purchased Amazon Fire Stick to determine if it has better performance. Love the Amazon Fire Stick. Extremely fast and no buffering with online streaming with PlayStation Vue on the Amazon Fire Stick. Save your money and get the stick.",2.0,Unknown Product,Back To College,primary,negative
"not good, hate it , never buy it again, sucks. done",1.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Black",Fire Tablets,primary,negative
I love tge size of the tablet. I can store it in my bookbag and go about my way.,5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
We bought this Amazon Tap Bluetooth and wifi wireless speaker for my brother. He loves it! He can play his fave tunes by the pool and it really holds a charge for hours of wireless listening.,5.0,Unknown Product,Featured Brands,primary,positive
Long lasting batteries at a great price. I would purchase them again.,5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
Wife loves it so makes my life better what else do you need to know past that.,5.0,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",Fire Tablets,primary,positive
Easy to setup but doesn t do everything without additional products. Better than google home.,3.0,"Echo (White), Echo (White)",Stereos,primary,neutral
"These Amazon batteries did the job although I gave 4star only because I had a few I would say a hand full of batteries that were not as strong or were pretty weak but out of a box of 48 batteries, I will definitely buy again for this priceIm pretty well satisfied.Thank you!",4.0,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,AA,primary,positive
Great set of batteries no complaints and long lasting!,5.0,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,AA,primary,positive
By far the worst batteries I have ever bought I regret my purchase of 2 packs! Half of each box came without power and the ones that did were half life! If u found this helpful please rate helpful thanks!,1.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,negative
Tablet had trouble from the begging it kept restarting and rebooting I had to return it.,2.0,"All - New Fire HD 8 Tablet, 8 HD Display, Wi - Fi, 16 GB - Includes Special Offers, Black",Fire Tablets,primary,negative
Nice basic reader. Had the first model kindle and this is quite a bit lighter,4.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Electronics,primary,positive
"This little tablet is awsome for the price. Great for the kids too! Perfect for reading books, playing games, surfing the web. I am very pleased with my tablet! Will be buying more for gifts this holiday season!",5.0,"Fire Tablet, 7 Display, Wi - Fi, 8 GB - Includes Special Offers, Magenta",Fire Tablets,primary,positive
"Bought with some lanterns, as it was easier to add with my lanterns than drive to the store and purchase. Standard batteries, work fine. E",5.0,AmazonBasics AAA Performance Alkaline Batteries (36 Count),AA,primary,positive
This is a great tablet for the price I paid. My husband loves it!,5.0,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",Fire Tablets,primary,positive
Employees were very helpful. I always enjoy shopping at Best Buy.,4.0,Unknown Product,Electronics,primary,positive
Installation was easy. Directions for use was excellent. Best buy employees were very helpful explaining the product. Best buy always makes the buying process very easy and enjoyable. Looking forward to using the echo plus for many years.,5.0,Amazon - Echo Plus w/ Built - In Hub - Silver,Amazon Echo,primary,positive
SO much less than other batteries and they seem to last longer!,5.0,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,AA,primary,positive
